macro_regiao,exposicao,outcome,sensibilidade,contrast,n_extreme,n_ref,median_ext,median_ref,U_stat,p_value,mean_diff,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
Noroeste,ur_med,internacoes_i60_i64,P10_P90,P10_vs_P50,585,299,1.0,1.0,89538.5,0.5507326670129602,0.08316610925306578,0.720959127726057,1.0,False,False,False
Noroeste,ur_med,internacoes_i60_i64,P10_P90,P90_vs_P50,590,299,1.0,1.0,88128.0,0.9825525931177819,0.027277365228728367,0.9894235902724517,1.0,False,False,False
Noroeste,ur_med,obitos_i60_i69,P10_P90,P10_vs_P50,585,299,0.0,0.0,87212.0,0.9389340809099369,0.039910813823857305,0.958911401780361,1.0,False,False,False
Noroeste,ur_med,obitos_i60_i69,P10_P90,P90_vs_P50,590,299,0.0,0.0,89288.5,0.7376788541313339,0.0585114222549743,0.8566593144750975,1.0,False,False,False
Noroeste,ur_med,obitos_i60_i64,P10_P90,P10_vs_P50,585,299,0.0,0.0,88033.0,0.84036809406715,0.027870680044593088,0.9380853143075163,1.0,False,False,False
Noroeste,ur_med,obitos_i60_i64,P10_P90,P90_vs_P50,590,299,0.0,0.0,87832.5,0.8961619680202336,0.01804886344311546,0.9283980100353498,1.0,False,False,False
Norte,temp_med,internacoes_i60_i69,P10_P90,P10_vs_P50,585,249,2.0,2.0,77958.0,0.10222073721921253,0.18255586448357564,0.2582418624485369,1.0,False,False,False
Norte,temp_med,internacoes_i60_i69,P10_P90,P90_vs_P50,586,249,2.0,2.0,68233.5,0.13202887080573059,-0.2676439546582232,0.3066476999358904,1.0,False,False,False
Norte,temp_med,internacoes_i60_i64,P10_P90,P10_vs_P50,585,249,2.0,2.0,77201.5,0.16333683088270134,0.16430851611574493,0.35105229324043274,1.0,False,False,False
Norte,temp_med,internacoes_i60_i64,P10_P90,P90_vs_P50,586,249,2.0,2.0,67011.5,0.057501020556474686,-0.2958180846251901,0.17250306166942406,1.0,False,False,False
Norte,temp_med,obitos_i60_i69,P10_P90,P10_vs_P50,585,249,1.0,1.0,77083.5,0.16481786225288209,0.11059623107815875,0.3490260612413974,1.0,False,False,False
Norte,temp_med,obitos_i60_i69,P10_P90,P90_vs_P50,586,249,1.0,1.0,72438.5,0.8658656382108643,0.0006373617336239423,0.9374785857320636,1.0,False,False,False
Norte,temp_med,obitos_i60_i64,P10_P90,P10_vs_P50,585,249,1.0,1.0,72869.0,0.9903121158168124,-0.002862732983214822,0.9903121158168126,1.0,False,False,False
Norte,temp_med,obitos_i60_i64,P10_P90,P90_vs_P50,586,249,0.0,1.0,66446.5,0.026233078927595934,-0.1425086009567279,0.11110480486981808,1.0,False,False,False
Norte,ur_med,internacoes_i60_i69,P10_P90,P10_vs_P50,585,289,2.0,2.0,84037.5,0.8863984279742005,0.005518587525507712,0.9316888586006196,1.0,False,False,False
Norte,ur_med,internacoes_i60_i69,P10_P90,P90_vs_P50,585,289,2.0,2.0,80938.5,0.29816647485921366,-0.11413953213261152,0.5051290868203149,1.0,False,False,False
Norte,ur_med,internacoes_i60_i64,P10_P90,P10_vs_P50,585,289,2.0,2.0,83928.0,0.8612472228984461,0.014964658563274558,0.9395424249801231,1.0,False,False,False
Norte,ur_med,internacoes_i60_i64,P10_P90,P90_vs_P50,585,289,2.0,2.0,80725.5,0.26907287436964167,-0.08418064058202468,0.4668252278220289,1.0,False,False,False
Norte,ur_med,obitos_i60_i69,P10_P90,P10_vs_P50,585,289,1.0,1.0,78869.5,0.09357069330457464,-0.1437198710555112,0.24498508792470453,1.0,False,False,False
Norte,ur_med,obitos_i60_i69,P10_P90,P90_vs_P50,585,289,1.0,1.0,80367.0,0.21812039036223985,-0.11466004199568225,0.4187911494955005,1.0,False,False,False
Norte,ur_med,obitos_i60_i64,P10_P90,P10_vs_P50,585,289,1.0,1.0,78771.0,0.07457369758035932,-0.10203767781622453,0.20261532927493855,1.0,False,False,False
Norte,ur_med,obitos_i60_i64,P10_P90,P90_vs_P50,585,289,1.0,1.0,81357.5,0.32852997640170956,-0.035371011149557874,0.5375945068391611,1.0,False,False,False
Serrana,temp_med,internacoes_i60_i69,P10_P90,P10_vs_P50,585,237,3.0,3.0,70629.0,0.6693029504743551,-0.6402683111543874,0.8099128140193876,1.0,False,False,False
Serrana,temp_med,internacoes_i60_i69,P10_P90,P90_vs_P50,585,237,4.0,3.0,70785.5,0.6321616000485704,-1.7530888239748998,0.7780450462136251,1.0,False,False,False
Serrana,temp_med,internacoes_i60_i64,P10_P90,P10_vs_P50,585,237,3.0,3.0,68146.5,0.6989624235453304,-0.05833603808287391,0.8387549082543965,1.0,False,False,False
Serrana,temp_med,internacoes_i60_i64,P10_P90,P90_vs_P50,585,237,3.0,3.0,74156.5,0.11224488709614211,0.2972195174726817,0.27867696106628387,1.0,False,False,False
Serrana,temp_med,obitos_i60_i69,P10_P90,P10_vs_P50,585,237,2.0,1.0,76968.5,0.011079231357143938,0.3005301309098778,0.07251860524676032,1.0,False,True,False
