macro_regiao,estacao,exposicao,outcome,contrast,n_extreme,n_ref,mw_U,mw_p,cliffs_delta,mean_diff,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
Metropolitana I,verao,ur_med,obitos_i60_i64,P05_vs_P50,78,65,3074.0,0.028409224854374648,0.2126232741617357,1.1820512820512832,0.3068196284272462,1.0,False,False,False
Metropolitana I,verao,ur_med,obitos_i60_i64,P95_vs_P50,52,65,1580.5,0.5479085890827015,-0.06479289940828402,-0.38846153846153797,0.8898365055779212,1.0,False,False,False
Metropolitana I,inverno,temp_med,internacoes_i60_i69,P05_vs_P50,186,40,4818.5,0.0033941114911022253,0.2952956989247312,4.447311827956987,0.052366291577005765,0.7331280820780807,False,True,False
Metropolitana I,inverno,temp_med,internacoes_i60_i64,P05_vs_P50,186,40,4982.5,0.000757924249297815,0.3393817204301075,4.2198924731182785,0.023387376835475433,0.16371163784832804,True,True,False
Metropolitana I,inverno,temp_med,obitos_i60_i69,P05_vs_P50,186,40,4201.0,0.19934491663914333,0.1293010752688172,1.1510752688172037,0.7058770818697534,1.0,False,False,False
Metropolitana I,inverno,temp_med,obitos_i60_i64,P05_vs_P50,186,40,4069.0,0.3510113591986489,0.09381720430107526,0.7145161290322584,0.7816335421330738,1.0,False,False,False
Metropolitana I,inverno,ur_med,internacoes_i60_i69,P05_vs_P50,71,86,3019.0,0.9058317091018488,-0.011136586963642319,-0.10055682934818222,1.0,1.0,False,False,False
Metropolitana I,inverno,ur_med,internacoes_i60_i69,P95_vs_P50,53,86,1945.5,0.14827912392376008,-0.1463361123299693,-0.24352786309785301,0.5931164956950403,1.0,False,False,False
Metropolitana I,inverno,ur_med,internacoes_i60_i64,P05_vs_P50,71,86,3061.0,0.9788675485925964,0.0026203734032099572,-0.40320995741893384,1.0,1.0,False,False,False
Metropolitana I,inverno,ur_med,internacoes_i60_i64,P95_vs_P50,53,86,1827.5,0.050186957883964864,-0.19811320754716982,-2.7090829311101388,0.38715653224772895,1.0,False,False,False
Metropolitana I,inverno,ur_med,obitos_i60_i69,P05_vs_P50,71,86,3239.5,0.5109018413750204,0.06108745496233213,0.5271863740583029,0.8758317280714635,1.0,False,False,False
Metropolitana I,inverno,ur_med,obitos_i60_i69,P95_vs_P50,53,86,2066.5,0.35694782204954545,-0.09324265028521281,-1.0462922334357163,0.7710072956270182,1.0,False,False,False
Metropolitana I,inverno,ur_med,obitos_i60_i64,P05_vs_P50,71,86,3322.0,0.3418548413607767,0.08811005568293481,0.3956763838847035,0.7939854379992234,1.0,False,False,False
Metropolitana I,inverno,ur_med,obitos_i60_i64,P95_vs_P50,53,86,2268.0,0.9635620683552943,-0.004826678367705134,-0.1772707327775347,1.0,1.0,False,False,False
Metropolitana II,verao,temp_med,internacoes_i60_i69,P95_vs_P50,166,73,8981.5,2.446335401050518e-09,0.48234032018484896,2.5194751609176436,1.761361488756373e-07,5.284084466269119e-07,True,True,True
Metropolitana II,verao,temp_med,internacoes_i60_i64,P95_vs_P50,166,73,8919.0,5.272181262805763e-09,0.4720250866479617,2.4746657864334054,2.846977881915112e-07,1.1387911527660448e-06,True,True,True
Metropolitana II,verao,temp_med,obitos_i60_i69,P95_vs_P50,166,73,4556.0,0.0019478793877055027,-0.24806073609506518,-0.7806568740716293,0.03506182897869905,0.42074194774438856,True,True,False
Metropolitana II,verao,temp_med,obitos_i60_i64,P95_vs_P50,166,73,5356.5,0.1417961690192907,-0.11594322495461297,-0.2941079386037302,0.6125594501633358,1.0,False,False,False
Metropolitana II,verao,ur_med,internacoes_i60_i69,P05_vs_P50,71,87,3206.5,0.679576150288009,0.038206248988181965,-0.11996114618746923,1.0,1.0,False,False,False
Metropolitana II,verao,ur_med,internacoes_i60_i69,P95_vs_P50,50,87,1483.0,0.0018573200432442374,-0.3181609195402299,-1.9351724137931035,0.03647101175825048,0.4011811293407553,True,True,False
Metropolitana II,verao,ur_med,internacoes_i60_i64,P05_vs_P50,71,87,3147.0,0.8384806290487817,0.01894123360854784,-0.22033349522421908,1.0,1.0,False,False,False
Metropolitana II,verao,ur_med,internacoes_i60_i64,P95_vs_P50,50,87,1445.5,0.0010312993465994178,-0.3354022988505747,-2.039770114942529,0.02784508235818428,0.22276065886547425,True,True,False
Metropolitana II,verao,ur_med,obitos_i60_i69,P05_vs_P50,71,87,2457.5,0.025065527216851072,-0.20430629755544763,-0.6883600453294476,0.3007863266022129,1.0,False,False,False
Metropolitana II,verao,ur_med,obitos_i60_i69,P95_vs_P50,50,87,2031.0,0.5123112698377499,-0.06620689655172414,-0.2954022988505747,0.864525267851203,1.0,False,False,False
Metropolitana II,verao,ur_med,obitos_i60_i64,P05_vs_P50,71,87,2568.5,0.059239456962335624,-0.16836652096486968,-0.29982192002590247,0.37634478540777927,1.0,False,False,False
Metropolitana II,verao,ur_med,obitos_i60_i64,P95_vs_P50,50,87,1973.0,0.35230125775215426,-0.0928735632183908,-0.17954022988505747,0.768657289641064,1.0,False,False,False
Metropolitana II,inverno,temp_med,internacoes_i60_i69,P05_vs_P50,125,97,2561.0,1.1969774875290996e-13,-0.5775670103092784,-2.5717113402061855,1.2927356865314277e-11,2.5854713730628553e-11,True,True,True
Metropolitana II,inverno,temp_med,internacoes_i60_i64,P05_vs_P50,125,97,2531.0,7.117986121448032e-14,-0.5825154639175257,-3.0841237113402062,1.537485002232775e-11,1.537485002232775e-11,True,True,True
Metropolitana II,inverno,temp_med,obitos_i60_i69,P05_vs_P50,125,97,6676.0,0.1901434131933165,0.1011958762886598,0.31397938144329895,0.6845162874959395,1.0,False,False,False
Metropolitana II,inverno,temp_med,obitos_i60_i64,P05_vs_P50,125,97,6717.0,0.15853345427685483,0.10795876288659793,0.2743092783505152,0.5904004504103559,1.0,False,False,False
Metropolitana II,inverno,ur_med,internacoes_i60_i69,P05_vs_P50,41,94,2091.5,0.4303187760081141,0.08536585365853659,0.4626362221069016,0.8082509184152403,1.0,False,False,False
