macro_regiao,exposicao,outcome,contrast,ext_days,ref_days,ext_pct_events,ref_pct_events,chi2,chi_p,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
Medio Paraiba,ur_med,internacoes_i60_i69,P01_vs_P50,59,328,98.3,97.3,0.00047873035967467776,0.982543752294892,1.0,1.0,False,False,False
Medio Paraiba,ur_med,internacoes_i60_i69,P99_vs_P50,59,328,98.3,97.3,0.00047873035967467776,0.982543752294892,1.0,1.0,False,False,False
Medio Paraiba,ur_med,internacoes_i60_i64,P05_vs_P50,234,328,94.0,96.0,0.8163047290070315,0.3662627962495082,1.0,1.0,False,False,False
Medio Paraiba,ur_med,internacoes_i60_i64,P95_vs_P50,235,328,91.5,96.0,4.33942541764543,0.0372394887939917,0.5107129891747433,1.0,False,False,False
Medio Paraiba,ur_med,internacoes_i60_i64,P01_vs_P50,59,328,93.2,96.0,0.39281234041777113,0.5308248083977753,1.0,1.0,False,False,False
Medio Paraiba,ur_med,internacoes_i60_i64,P99_vs_P50,59,328,98.3,96.0,0.2308082005385047,0.6309252064811524,1.0,1.0,False,False,False
Medio Paraiba,ur_med,obitos_i60_i69,P05_vs_P50,234,328,79.9,78.7,0.06560578692054847,0.7978456193184853,1.0,1.0,False,False,False
Medio Paraiba,ur_med,obitos_i60_i69,P95_vs_P50,235,328,78.3,78.7,0.0,1.0,1.0,1.0,False,False,False
Medio Paraiba,ur_med,obitos_i60_i69,P01_vs_P50,59,328,79.7,78.7,1.9989937055346525e-07,0.9996432649676602,1.0,1.0,False,False,False
Medio Paraiba,ur_med,obitos_i60_i69,P99_vs_P50,59,328,78.0,78.7,0.0,1.0,1.0,1.0,False,False,False
Medio Paraiba,ur_med,obitos_i60_i64,P05_vs_P50,234,328,53.8,64.6,6.188042522848284,0.012861637597754267,0.3704151628153229,1.0,False,False,False
Medio Paraiba,ur_med,obitos_i60_i64,P95_vs_P50,235,328,57.9,64.6,2.373181265681123,0.12343528036878318,0.7254971580859093,1.0,False,False,False
Medio Paraiba,ur_med,obitos_i60_i64,P01_vs_P50,59,328,69.5,64.6,0.3287149181684316,0.5664167723832281,1.0,1.0,False,False,False
Medio Paraiba,ur_med,obitos_i60_i64,P99_vs_P50,59,328,55.9,64.6,1.2770110100602432,0.25845552796814264,1.0,1.0,False,False,False
Metropolitana I,temp_med,internacoes_i60_i69,P05_vs_P50,234,247,100.0,100.0,,,,,False,False,False
