macro_regiao,exposicao,outcome,contrast,n_extreme,n_ref,median_extreme,median_ref,mean_extreme,mean_ref,std_extreme,std_ref,mw_U,mw_p,ks_stat,ks_p,bm_p_hat,bm_p,mood_stat,mood_p,cliffs_delta,hl_est,hl_ci_low,hl_ci_high,perm_p,kw_H,kw_p,jt_JT,jt_E,jt_p,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005,ks_fdr_bh,combined_signal
Baixada Litoranea,ur_med,obitos_i60_i69,P05_vs_P50,234,303,1.0,1.0,0.9145299145299145,1.0198019801980198,1.0133523072839823,1.101875371230999,33940.0,0.3690581787720937,0.060632986375560693,0.6866749303807834,0.4786888945304787,0.6561609291343571,2.2136813608181467,0.13679189772490272,-0.04262221093904262,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Baixada Litoranea,ur_med,obitos_i60_i69,P95_vs_P50,234,303,1.0,1.0,0.9700854700854701,1.0198019801980198,1.0144060581515286,1.101875371230999,35148.5,0.8578880787647498,0.039561648472539734,0.9789397886309956,0.4957335477137457,0.9292286346865619,0.4816961591401261,0.487655029124357,-0.008532904572508533,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Baixada Litoranea,ur_med,obitos_i60_i69,P01_vs_P50,59,303,1.0,1.0,1.0847457627118644,1.0198019801980198,1.0461897872549808,1.101875371230999,9429.0,0.4821595601114974,0.10745650836270065,0.576006554347338,0.527437489511663,0.7952282911641462,0.1264821470259611,0.7221077225479612,0.05487497902332606,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Baixada Litoranea,ur_med,obitos_i60_i69,P99_vs_P50,59,303,1.0,1.0,1.1694915254237288,1.0198019801980198,1.1666632467357982,1.101875371230999,9616.5,0.33168912863391964,0.07355820327795493,0.9309779536548308,0.5379258264809531,0.7199688102343035,0.4130167141256389,0.5204422981682522,0.07585165296190637,0.0,0.0,0.0,,0.9140400392712533,0.6331676641499497,69998.0,98280.0,3.537886490868444e-17,1.0,1.0,False,False,False,1.0,False
Baixada Litoranea,ur_med,obitos_i60_i64,P05_vs_P50,234,303,0.0,0.0,0.5854700854700855,0.6402640264026402,0.7701442818830031,0.8632366350230012,34941.5,0.7486762074917916,0.04963188626554971,0.879543686328655,0.4928140249922429,0.8738159579407071,0.008768121646855465,0.9253965248984363,-0.014371950015514372,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Baixada Litoranea,ur_med,obitos_i60_i64,P95_vs_P50,234,303,0.0,0.0,0.6324786324786325,0.6402640264026402,0.8070023734413736,0.8632366350230012,35927.5,0.7657763125339712,0.033468731488533354,0.9969664202459343,0.5067205438492567,0.8825973047487257,0.47059354840398676,0.4927142352049867,0.01344108769851344,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Baixada Litoranea,ur_med,obitos_i60_i64,P01_vs_P50,59,303,0.0,0.0,0.6779661016949152,0.6402640264026402,0.8914029689698105,0.8632366350230012,9095.0,0.8122351468568585,0.021424176315936627,1.0,0.5087542652570342,0.9300069145688847,0.0,1.0,0.017508530514068355,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Baixada Litoranea,ur_med,obitos_i60_i64,P99_vs_P50,59,303,0.0,0.0,0.7457627118644068,0.6402640264026402,0.9671418723855666,0.8632366350230012,9377.5,0.505439789399925,0.04223303686300828,0.9999531503012713,0.5245566929574313,0.8057884701674906,0.20670194011229784,0.6493647626651737,0.049113385914862674,0.0,0.0,0.0,,0.36420106699337085,0.8335175397705982,59475.0,98280.0,6.356018526918908e-31,1.0,1.0,False,False,False,1.0,False
Centro-Sul,temp_med,internacoes_i60_i69,P05_vs_P50,234,191,1.0,2.0,1.6623931623931625,2.0785340314136125,1.5111113528251343,1.690475303416073,18710.0,0.003066248424145155,0.128563118091914,0.055223630599001094,0.41862442386002596,0.13780555757096882,7.9959698169776745,0.004688158258160494,-0.1627511522799481,0.0,-1.0,0.0,0.4325,,,,,,0.4298488003381707,1.0,False,False,False,0.4298488003381707,False
Centro-Sul,temp_med,internacoes_i60_i69,P95_vs_P50,234,191,2.0,2.0,1.893162393162393,2.0785340314136125,1.4475577130473312,1.690475303416073,21027.5,0.283225146115737,0.06018704971584554,0.8110199572097013,0.47047702152414195,0.5935580385142655,1.4908545164018991,0.22208392413022188,-0.05904595695171611,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
