macro_regiao,exposicao,outcome,contrast,n_P05,n_P50,median_P05,median_P50,mean_P05,mean_P50,U_stat,p_value,mean_diff,n_P95,median_P95,mean_P95,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005,cliffs_delta,cliffs_abs,cliffs_magnitude
Metropolitana I,temp_med,obitos_i60_i69,P95_vs_P50,,247,,16.0,,15.558704453441296,39392.0,0.07530312303932925,0.46177336225836463,293.0,17.0,16.02047781569966,0.22129897382986555,1.0,False,False,False,0.08861284216053392,0.08861284216053392,negligenciável
Metropolitana I,temp_med,obitos_i60_i64,P05_vs_P50,293.0,247,11.0,10.0,11.402730375426621,10.562753036437247,40776.5,0.010754785313425302,0.8399773389893745,,,,0.06733430804927146,1.0,False,True,False,0.1268740241256857,0.1268740241256857,negligenciável
Metropolitana I,temp_med,obitos_i60_i64,P95_vs_P50,,247,,10.0,,10.562753036437247,35333.0,0.6360023301739484,-0.2692376780754717,293.0,11.0,10.293515358361775,0.8033713644302505,1.0,False,False,False,-0.02355916043719169,0.02355916043719169,negligenciável
Metropolitana I,ur_med,internacoes_i60_i69,P05_vs_P50,293.0,336,22.0,22.0,22.77815699658703,23.029761904761905,47692.5,0.5002284793179443,-0.25160490817487613,,,,0.7131970398196434,1.0,False,False,False,-0.031112871769868357,0.031112871769868357,negligenciável
Metropolitana I,ur_med,internacoes_i60_i69,P95_vs_P50,,336,,22.0,,23.029761904761905,43365.0,0.00988744114342671,-1.3164513245571285,293.0,21.0,21.713310580204777,0.06779959641206887,1.0,False,True,False,-0.1190273037542662,0.1190273037542662,negligenciável
Metropolitana I,ur_med,internacoes_i60_i64,P05_vs_P50,293.0,336,20.0,20.0,20.51877133105802,20.866071428571427,48487.5,0.7458538838069216,-0.34730009751340774,,,,0.8803521251491534,1.0,False,False,False,-0.014962213554363725,0.014962213554363725,negligenciável
Metropolitana I,ur_med,internacoes_i60_i64,P95_vs_P50,,336,,20.0,,20.866071428571427,42074.0,0.0016397688748180594,-1.866071428571427,293.0,19.0,19.0,0.021466065270345506,0.23612671797380055,True,True,False,-0.14525434747277752,0.14525434747277752,negligenciável
Metropolitana I,ur_med,obitos_i60_i69,P05_vs_P50,293.0,336,16.0,16.0,16.27645051194539,15.726190476190476,52688.5,0.1266581402328401,0.5502600357549152,,,,0.3091317320937115,1.0,False,False,False,0.07038233382090038,0.07038233382090038,negligenciável
Metropolitana I,ur_med,obitos_i60_i69,P95_vs_P50,,336,,16.0,,15.726190476190476,46067.5,0.16409662066488895,-0.6852348447911591,293.0,15.0,15.040955631399317,0.36921739649600016,1.0,False,False,False,-0.06412522346822688,0.06412522346822688,negligenciável
Metropolitana I,ur_med,obitos_i60_i64,P05_vs_P50,293.0,336,11.0,10.0,10.662116040955631,10.351190476190476,52589.5,0.13722051080664818,0.31092556476515476,,,,0.32932922593595565,1.0,False,False,False,0.0683711197789696,0.0683711197789696,negligenciável
