estratificacao,exposicao,contrast,n_extreme,n_ref,mean_extreme,mean_ref,mw_U,mw_p,cliffs_delta,sexo,faixa_etaria,desfecho,cid_grupo,macro_regiao,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
sexo_faixa_etaria,ur_med,P05_vs_P50,2106,2825,0.150997150997151,0.1536283185840708,2970308.0,0.8760519358010479,-0.0014848431367605408,3,<40,,,,1.0,1.0,False,False,False
sexo_faixa_etaria,ur_med,P95_vs_P50,2103,2825,0.11792677127912506,0.1536283185840708,2884138.0,0.0014279954249272215,-0.029069134275097944,3,<40,,,,0.020943932898932583,0.6283179869679775,True,True,False
sexo_faixa_etaria,ur_med,P05_vs_P50,2106,2825,0.6837606837606838,0.6739823008849557,2997035.5,0.5932119525741439,0.007500021010345494,3,40-59,,,,0.9739300713903856,1.0,False,False,False
sexo_faixa_etaria,ur_med,P95_vs_P50,2103,2825,0.6310033285782216,0.6739823008849557,2905803.0,0.11731457894919521,-0.02177571863204272,3,40-59,,,,0.4527931117337359,1.0,False,False,False
sexo_faixa_etaria,ur_med,P05_vs_P50,2106,2825,1.3404558404558404,1.2594690265486725,3018728.5,0.3379016725627587,0.01479245980720907,3,60-79,,,,0.739685253371213,1.0,False,False,False
sexo_faixa_etaria,ur_med,P95_vs_P50,2103,2825,1.1659533999048977,1.2594690265486725,2815890.5,0.0006470506865752646,-0.05204431932468997,3,60-79,,,,0.013557252480624591,0.2847023020931164,True,True,False
sexo_faixa_etaria,ur_med,P05_vs_P50,2106,2825,0.5816714150047484,0.6169911504424779,2977408.5,0.9478403846406005,0.0009021001941355923,3,80+,,,,1.0,1.0,False,False,False
sexo_faixa_etaria,ur_med,P95_vs_P50,2103,2825,0.5073704232049453,0.6169911504424779,2852739.0,0.0035005907852736283,-0.039639453120068675,3,80+,,,,0.04400742701486847,1.0,True,True,False
sexo_faixa_etaria,ur_med,P05_vs_P50,2106,2825,0.0,0.0,2974725.0,,0.0,9,<40,,,,,,False,False,False
sexo_faixa_etaria,ur_med,P95_vs_P50,2103,2825,0.0,0.0,2970487.5,,0.0,9,<40,,,,,,False,False,False
sexo_faixa_etaria,ur_med,P05_vs_P50,2106,2825,0.0,0.0,2974725.0,,0.0,9,40-59,,,,,,False,False,False
sexo_faixa_etaria,ur_med,P95_vs_P50,2103,2825,0.0,0.0,2970487.5,,0.0,9,40-59,,,,,,False,False,False
sexo_faixa_etaria,ur_med,P05_vs_P50,2106,2825,0.0,0.0,2974725.0,,0.0,9,60-79,,,,,,False,False,False
sexo_faixa_etaria,ur_med,P95_vs_P50,2103,2825,0.0,0.0,2970487.5,,0.0,9,60-79,,,,,,False,False,False
sexo_faixa_etaria,ur_med,P05_vs_P50,2106,2825,0.0,0.0,2974725.0,,0.0,9,80+,,,,,,False,False,False
sexo_faixa_etaria,ur_med,P95_vs_P50,2103,2825,0.0,0.0,2970487.5,,0.0,9,80+,,,,,,False,False,False
desfecho,temp_med,P05_vs_P50,1839,1898,6.426318651441001,6.518440463645943,1673831.0,0.028754608926678145,-0.04090049856435697,,,internacao,,,0.20406496657642556,1.0,False,False,False
desfecho,temp_med,P95_vs_P50,1810,1898,6.062983425414365,6.518440463645943,1658578.5,0.06693836845336171,-0.03441336911782685,,,internacao,,,0.31332853318594844,1.0,False,False,False
desfecho,temp_med,P05_vs_P50,1395,1459,4.438709677419355,4.403701165181631,1003662.5,0.5119438366313673,-0.01374732533944544,,,obito,,,0.9119647292218689,1.0,False,False,False
desfecho,temp_med,P95_vs_P50,1284,1459,4.460280373831775,4.403701165181631,895557.5,0.03984259261569439,-0.043900358501000346,,,obito,,,0.24348251042924346,1.0,False,False,False
desfecho,ur_med,P05_vs_P50,1796,2424,6.545100222717149,6.511551155115511,2200577.0,0.5387672736477762,0.010945206436011084,,,internacao,,,0.9224031144164262,1.0,False,False,False
desfecho,ur_med,P95_vs_P50,1762,2424,6.035754824063564,6.511551155115511,1985500.5,8.460636864282937e-05,-0.07026008361335566,,,internacao,,,0.004136311355871658,0.03722680220284492,True,True,True
desfecho,ur_med,P05_vs_P50,1303,1822,4.5610130468150425,4.635016465422613,1137866.0,0.04124719653075147,-0.041420078464541425,,,obito,,,0.24861323936343352,1.0,False,False,False
desfecho,ur_med,P95_vs_P50,1393,1822,4.107681263460158,4.635016465422613,1190246.0,0.0018056479413899936,-0.062076889071356466,,,obito,,,0.024827659194112412,0.7944850942115972,True,True,False
cid_grupo,temp_med,P05_vs_P50,1794,1820,5.51783723522854,5.6752747252747255,1542429.5,0.0035887076311237544,-0.05519650360787485,,,,I64_nao_especificado,,0.04386198215817922,1.0,True,True,False
cid_grupo,temp_med,P95_vs_P50,1737,1820,5.388025331030512,5.6752747252747255,1518273.5,0.03895365517062215,-0.0394747164177216,,,,I64_nao_especificado,,0.24485154678676782,1.0,False,False,False
cid_grupo,temp_med,P05_vs_P50,1116,1170,3.582437275985663,3.6982905982905985,647304.0,0.7092573191819723,-0.00851024721992464,,,,I65-I69_outros,,1.0,1.0,False,False,False
