estratificacao,exposicao,contrast,n_P05,n_P50,sexo,median_P05,median_P50,mean_P05,mean_P50,U_stat,p_value,mean_diff,n_P95,median_P95,mean_P95,faixa_etaria,desfecho,cid_grupo,macro_regiao,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
sexo_faixa_etaria,temp_med,P05_vs_P50,2639.0,2189,3,0.0,0.0,0.6782872300113679,0.6528095020557332,2835471.5,0.19945817108738684,0.025477727955634744,,,,40-59,,,,0.4405614548193929,1.0,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,,2189,3,,0.0,,0.6528095020557332,2784332.0,0.014854323018936962,0.04244666492718907,2635.0,0.0,0.6952561669829223,40-59,,,,0.08781526255312733,1.0,False,True,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2639.0,2189,3,0.0,1.0,1.279651383099659,1.3563270899954316,2822478.5,0.14006049021749922,-0.07667570689577263,,,,60-79,,,,0.370423138601544,1.0,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,,2189,3,,1.0,,1.3563270899954316,2829663.5,0.22423744182872585,0.056576135811019945,2635.0,1.0,1.4129032258064516,60-79,,,,0.4694971438288948,1.0,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2639.0,2189,3,0.0,0.0,0.5918908677529368,0.6098675194152581,2836539.5,0.18924684183885598,-0.01797665166232132,,,,80+,,,,0.42740017089449495,1.0,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,,2189,3,,0.0,,0.6098675194152581,2811718.0,0.0660611167785266,0.03263722441775896,2635.0,0.0,0.642504743833017,80+,,,,0.25053366929214804,1.0,False,False,False
sexo_faixa_etaria,ur_med,P05_vs_P50,2637.0,2825,1,0.0,0.0,0.12627986348122866,0.1384070796460177,3678414.5,0.14207507782104709,-0.01212721616478904,,,,<40,,,,0.37087130703935667,1.0,False,False,False
sexo_faixa_etaria,ur_med,P95_vs_P50,,2825,1,,0.0,,0.1384070796460177,3670265.5,0.061250575345105765,-0.019088897827835877,2640.0,0.0,0.11931818181818182,<40,,,,0.2564867842576304,1.0,False,False,False
sexo_faixa_etaria,ur_med,P05_vs_P50,2637.0,2825,1,0.0,0.0,0.7956010618126659,0.7766371681415929,3726183.5,0.977594647238371,0.018963893671072984,,,,40-59,,,,0.9874197190699123,1.0,False,False,False
sexo_faixa_etaria,ur_med,P95_vs_P50,,2825,1,,0.0,,0.7766371681415929,3598367.5,0.009024066211671232,-0.09709171359613833,2640.0,0.0,0.6795454545454546,40-59,,,,0.06254611408779026,1.0,False,True,False
sexo_faixa_etaria,ur_med,P05_vs_P50,2637.0,2825,1,1.0,1.0,1.5255972696245734,1.6357522123893806,3692005.5,0.5514418966557464,-0.1101549427648072,,,,60-79,,,,0.7340385511775167,1.0,False,False,False
sexo_faixa_etaria,ur_med,P95_vs_P50,,2825,1,,1.0,,1.6357522123893806,3535628.0,0.00041310808060878183,-0.1433279699651382,2640.0,1.0,1.4924242424242424,60-79,,,,0.005535648280157676,0.08303472420236514,True,True,False
sexo_faixa_etaria,ur_med,P05_vs_P50,2637.0,2825,1,0.0,0.0,0.4031095942358741,0.33238938053097344,3784119.5,0.17357001916677117,0.07072021370490067,,,,80+,,,,0.4056694634014071,1.0,False,False,False
sexo_faixa_etaria,ur_med,P95_vs_P50,,2825,1,,0.0,,0.33238938053097344,3604733.0,0.0031598735866610415,-0.04148028962188255,2640.0,0.0,0.2909090909090909,80+,,,,0.026463941288286223,0.6351345909188694,True,True,False
sexo_faixa_etaria,ur_med,P05_vs_P50,2637.0,2825,3,0.0,0.0,0.14675767918088736,0.1536283185840708,3703233.5,0.5152893180598695,-0.006870639403183443,,,,<40,,,,0.7142976064140261,1.0,False,False,False
sexo_faixa_etaria,ur_med,P95_vs_P50,,2825,3,,0.0,,0.1536283185840708,3628381.0,0.001592729215621562,-0.033552561008313234,2640.0,0.0,0.12007575757575757,<40,,,,0.014551753288178816,0.320138572339934,True,True,False
sexo_faixa_etaria,ur_med,P05_vs_P50,2637.0,2825,3,0.0,0.0,0.6799393249905196,0.6739823008849557,3752862.5,0.5680323564751273,0.005957024105563868,,,,40-59,,,,0.7511480503388196,1.0,False,False,False
sexo_faixa_etaria,ur_med,P95_vs_P50,,2825,3,,0.0,,0.6739823008849557,3661848.5,0.1686028393520772,-0.04670957361222838,2640.0,0.0,0.6272727272727273,40-59,,,,0.4034425084496133,1.0,False,False,False
sexo_faixa_etaria,ur_med,P05_vs_P50,2637.0,2825,3,1.0,0.0,1.3276450511945392,1.2594690265486725,3767507.5,0.42903826910350573,0.0681760246458667,,,,60-79,,,,0.6435574036552586,1.0,False,False,False
